Asset_ID,Asset_Name,Model,Serial_Number,Assigned_To,Department,Location,Purchase_Date,Warranty_Expiry,Status,Condition,age_days,warranty_remaining_days
ASSET10067,Monitor,Model-792,SN-325275,Divya Gowda,Marketing,Hubli,22-08-2024,22-08-2026,Under Repair,Good,472,257
ASSET10068,Server,Model-942,SN-571997,Nandini Pai,IT,Davangere,08-01-2025,08-01-2026,Disposed,Average,333,31
ASSET10069,Switch,Model-218,SN-284914,Karthik Hegde,Admin,Shivamogga,07-10-2022,06-10-2025,Under Repair,Poor,1157,-63
ASSET10070,Tablet,Model-542,SN-885841,Sahana Rao,Admin,Belagavi,07-03-2023,06-03-2026,Under Repair,Excellent,1006,88
ASSET10071,Desktop,Model-110,SN-490956,Karthik Desai,HR,Ballari,09-10-2024,09-10-2025,Disposed,Poor,424,-60
ASSET10072,Router,Model-519,SN-969486,Shruthi Desai,R&D,Udupi,14-05-2022,13-05-2024,Damaged,Average,1303,-574
ASSET10073,Projector,Model-495,SN-493625,Pooja Urs,Operations,Mysuru,31-05-2023,30-05-2026,In Use,Excellent,921,173
ASSET10074,Desktop,Model-333,SN-333892,Karthik Hegde,Marketing,Mysuru,28-03-2024,28-03-2025,In Use,Good,619,-255
ASSET10075,Server,Model-711,SN-134799,Meena Desai,Marketing,Belagavi,08-05-2024,08-05-2027,Disposed,Average,578,516
ASSET10076,Router,Model-832,SN-700070,Prakash Gowda,Admin,Ballari,06-10-2023,05-10-2026,In Use,Average,793,301
ASSET10077,Mobile,Model-847,SN-495045,Vikram Desai,Sales,Shivamogga,14-08-2022,13-08-2024,In Use,Good,1211,-482
ASSET10078,Server,Model-910,SN-471592,Divya Naidu,Admin,Bengaluru,02-12-2023,01-12-2025,In Use,Good,736,-7
ASSET10079,Laptop,Model-624,SN-691589,Sahana Desai,HR,Hubli,20-11-2023,19-11-2025,Disposed,Poor,748,-19
ASSET10080,Router,Model-478,SN-666516,Karthik Murthy,Sales,Shivamogga,11-01-2023,10-01-2026,In Use,Poor,1061,33
ASSET10081,Router,Model-256,SN-475130,Unassigned,HR,Udupi,14-10-2023,13-10-2026,Available,Good,785,309
ASSET10082,Projector,Model-486,SN-588260,Unassigned,Finance,Udupi,20-09-2024,20-09-2027,Available,Poor,443,651
ASSET10083,Tablet,Model-432,SN-907894,Prakash Gowda,Admin,Davangere,28-04-2024,28-04-2027,Under Repair,Average,588,506
ASSET10084,Switch,Model-794,SN-826159,Unassigned,Sales,Bengaluru,20-10-2024,20-10-2026,Available,Poor,413,316
ASSET10085,Desktop,Model-942,SN-270431,Deepak Gowda,Operations,Davangere,01-06-2024,01-06-2026,In Use,Good,554,175
ASSET10086,Printer,Model-707,SN-901313,Vikram Rao,Sales,Udupi,24-10-2022,23-10-2025,Disposed,Average,1140,-46
ASSET10087,Switch,Model-452,SN-792229,Deepak Rao,Marketing,Bengaluru,04-08-2022,04-08-2023,Under Repair,Good,1221,-857
ASSET10088,Projector,Model-619,SN-328823,Unassigned,Finance,Mangalore,09-07-2022,08-07-2025,Available,Excellent,1247,-153
ASSET10089,Desktop,Model-350,SN-356390,Shruthi Desai,Operations,Udupi,19-12-2023,18-12-2026,Damaged,Good,719,375
ASSET10090,Switch,Model-778,SN-322593,Divya Gowda,IT,Hubli,01-12-2023,30-11-2025,In Use,Average,737,-8
ASSET10091,Mobile,Model-521,SN-153982,Arjun Desai,HR,Belagavi,25-01-2023,24-01-2025,In Use,Excellent,1047,-318
ASSET10092,Router,Model-581,SN-446999,Unassigned,Admin,Ballari,25-05-2023,24-05-2026,Available,Excellent,927,167
ASSET10093,Switch,Model-943,SN-527566,Rohan Hegde,Finance,Bengaluru,03-02-2024,02-02-2027,Disposed,Average,673,421
ASSET10094,Projector,Model-263,SN-487928,Unassigned,Admin,Shivamogga,06-08-2024,06-08-2027,Available,Average,488,606
ASSET10095,Projector,Model-156,SN-912806,Karthik Gowda,Operations,Mysuru,23-04-2023,22-04-2024,Disposed,Average,959,-595
ASSET10096,Switch,Model-645,SN-671464,Unassigned,IT,Ballari,07-04-2024,07-04-2025,Available,Excellent,609,-245
ASSET10097,Server,Model-381,SN-263207,Prakash Gowda,Finance,Udupi,19-07-2024,19-07-2025,In Use,Excellent,506,-142
ASSET10098,Laptop,Model-749,SN-617075,Nandini Shetty,Operations,Belagavi,02-01-2023,01-01-2025,Under Repair,Good,1070,-341
ASSET10099,Printer,Model-837,SN-821586,Kavya Hegde,HR,Bengaluru,05-07-2022,04-07-2025,Disposed,Average,1251,-157
ASSET10100,Tablet,Model-944,SN-325982,Deepak Murthy,Sales,Belagavi,20-01-2025,20-01-2027,Disposed,Poor,321,408
ASSET10101,Printer,Model-909,SN-778483,Unassigned,Sales,Mysuru,29-11-2023,28-11-2026,Available,Average,739,355
ASSET10102,Tablet,Model-692,SN-605776,Manoj Urs,Marketing,Belagavi,30-12-2022,30-12-2023,In Use,Poor,1073,-709
ASSET10103,Router,Model-563,SN-670723,Shruthi Shetty,IT,Mangalore,05-06-2023,04-06-2026,Damaged,Good,916,178
ASSET10104,Projector,Model-730,SN-195128,Unassigned,Marketing,Bengaluru,21-08-2022,21-08-2023,Available,Poor,1204,-840
ASSET10105,Desktop,Model-363,SN-124016,Rakesh Gowda,R&D,Shivamogga,03-08-2022,02-08-2024,In Use,Poor,1222,-493
ASSET10106,Printer,Model-204,SN-943280,Deepak Rao,IT,Davangere,26-08-2023,25-08-2024,In Use,Poor,834,-470
ASSET10107,Switch,Model-162,SN-110148,Rohan Desai,IT,Bengaluru,01-03-2022,01-03-2023,Damaged,Poor,1377,-1013
ASSET10108,Switch,Model-235,SN-364899,Arjun Hegde,Marketing,Davangere,26-01-2023,25-01-2026,Disposed,Average,1046,48
ASSET10109,Server,Model-410,SN-713845,Meena Urs,Operations,Davangere,08-09-2023,07-09-2026,Disposed,Average,821,273
ASSET10110,Printer,Model-451,SN-596427,Unassigned,R&D,Mysuru,14-01-2022,14-01-2023,Available,Average,1423,-1059
ASSET10111,Server,Model-141,SN-972548,Meena Rao,R&D,Davangere,13-09-2023,12-09-2024,Damaged,Average,816,-452
ASSET10112,Laptop,Model-922,SN-433787,Unassigned,Admin,Bengaluru,09-05-2023,08-05-2024,Available,Excellent,943,-579
ASSET10113,Server,Model-905,SN-722990,Arjun Shetty,Finance,Mysuru,27-09-2022,27-09-2023,Damaged,Average,1167,-803
ASSET10114,Projector,Model-661,SN-289688,Pooja Urs,Sales,Belagavi,24-04-2022,23-04-2024,Disposed,Average,1323,-594
ASSET10115,Switch,Model-179,SN-582016,Divya Pai,Sales,Mysuru,27-10-2024,27-10-2026,In Use,Poor,406,323
ASSET10116,Switch,Model-745,SN-941320,Nandini Murthy,R&D,Belagavi,17-12-2022,16-12-2024,Disposed,Excellent,1086,-357
ASSET10117,Laptop,Model-565,SN-947572,Unassigned,Finance,Udupi,04-08-2023,03-08-2024,Available,Average,856,-492
ASSET10118,Mobile,Model-354,SN-266309,Rohan Hegde,Sales,Hubli,11-12-2022,10-12-2024,In Use,Excellent,1092,-363
ASSET10119,Desktop,Model-209,SN-928983,Nandini Urs,IT,Davangere,21-07-2024,21-07-2025,Damaged,Poor,504,-140
ASSET10120,Router,Model-627,SN-688560,Unassigned,Marketing,Ballari,13-03-2024,13-03-2026,Available,Excellent,634,95
ASSET10121,Mobile,Model-661,SN-921350,Shruthi Murthy,R&D,Mysuru,08-11-2022,08-11-2023,Damaged,Good,1125,-761
ASSET10122,Desktop,Model-335,SN-937656,Sanjay Murthy,Finance,Belagavi,11-08-2023,10-08-2024,In Use,Average,849,-485
ASSET10123,Server,Model-289,SN-989897,Nandini Urs,HR,Udupi,12-01-2024,11-01-2025,Disposed,Poor,695,-331
ASSET10124,Server,Model-447,SN-513346,Kavya Naidu,Operations,Belagavi,28-01-2024,27-01-2026,Under Repair,Average,679,50
ASSET10125,Desktop,Model-672,SN-414046,Latha Naidu,Finance,Ballari,09-05-2024,09-05-2025,Damaged,Excellent,577,-213
ASSET10126,Projector,Model-454,SN-986265,Arjun Rao,Finance,Ballari,22-12-2022,21-12-2024,Disposed,Good,1081,-352
ASSET10127,Router,Model-823,SN-976384,Unassigned,Finance,Hubli,30-06-2022,29-06-2025,Available,Poor,1256,-162
ASSET10128,Projector,Model-321,SN-327567,Kavya Urs,HR,Shivamogga,04-04-2023,03-04-2025,In Use,Excellent,978,-249
ASSET10129,Printer,Model-137,SN-455988,Sahana Gowda,IT,Mysuru,31-01-2022,30-01-2025,In Use,Poor,1406,-312
ASSET10130,Router,Model-198,SN-194901,Pooja Hegde,R&D,Shivamogga,25-01-2023,24-01-2025,Damaged,Poor,1047,-318
ASSET10131,Tablet,Model-509,SN-376542,Unassigned,Finance,Shivamogga,20-01-2024,19-01-2027,Available,Good,687,407
ASSET10132,Server,Model-274,SN-587069,Meena Urs,Operations,Belagavi,01-06-2024,01-06-2025,Disposed,Excellent,554,-190
ASSET10133,Mobile,Model-678,SN-814028,Sanjay Desai,HR,Mangalore,26-11-2023,25-11-2026,Damaged,Good,742,352
ASSET10134,Switch,Model-797,SN-676659,Unassigned,R&D,Shivamogga,18-03-2022,17-03-2024,Available,Poor,1360,-631
ASSET10135,Switch,Model-957,SN-515033,Sanjay Pai,Operations,Mysuru,17-05-2022,17-05-2023,In Use,Excellent,1300,-936
ASSET10136,Desktop,Model-492,SN-611019,Latha Shetty,Operations,Shivamogga,27-12-2022,27-12-2023,Damaged,Excellent,1076,-712
ASSET10137,Tablet,Model-635,SN-739750,Arjun Rao,Finance,Belagavi,17-07-2023,16-07-2025,In Use,Excellent,874,-145
ASSET10138,Monitor,Model-935,SN-574315,Sanjay Desai,Marketing,Udupi,02-06-2024,02-06-2026,In Use,Good,553,176
ASSET10139,Printer,Model-314,SN-278905,Kavya Pai,Finance,Hubli,25-08-2024,25-08-2026,Under Repair,Poor,469,260
ASSET10140,Router,Model-768,SN-641912,Unassigned,Sales,Hubli,08-08-2024,08-08-2025,Available,Poor,486,-122
ASSET10141,Tablet,Model-799,SN-307229,Pooja Desai,IT,Davangere,24-07-2023,23-07-2026,In Use,Good,867,227
ASSET10142,Printer,Model-723,SN-463095,Rakesh Rao,R&D,Shivamogga,25-09-2023,24-09-2026,Under Repair,Average,804,290
ASSET10143,Desktop,Model-388,SN-390440,Latha Murthy,R&D,Hubli,08-02-2023,07-02-2026,Damaged,Average,1033,61
ASSET10144,Monitor,Model-413,SN-135072,Divya Desai,Admin,Shivamogga,29-02-2024,28-02-2027,Damaged,Excellent,647,447
ASSET10145,Mobile,Model-155,SN-285297,Deepak Naidu,Marketing,Hubli,03-01-2024,02-01-2026,Damaged,Good,704,25
ASSET10146,Laptop,Model-462,SN-577324,Unassigned,Admin,Bengaluru,13-06-2024,13-06-2027,Available,Good,542,552
ASSET10147,Laptop,Model-891,SN-487181,Deepak Gowda,Admin,Ballari,18-01-2023,17-01-2025,Disposed,Good,1054,-325
ASSET10148,Printer,Model-965,SN-665505,Rohan Pai,Sales,Mysuru,10-12-2024,10-12-2026,In Use,Average,362,367
ASSET10149,Projector,Model-769,SN-945698,Vikram Pai,R&D,Davangere,26-07-2024,26-07-2025,In Use,Good,499,-135
ASSET10150,Desktop,Model-842,SN-536507,Meena Gowda,Finance,Mangalore,28-12-2023,27-12-2026,Disposed,Poor,710,384
ASSET10151,Monitor,Model-136,SN-180132,Meena Urs,Finance,Davangere,08-12-2023,07-12-2026,Disposed,Excellent,730,364
ASSET10152,Router,Model-115,SN-806859,Asha Hegde,Marketing,Belagavi,14-06-2022,13-06-2025,Damaged,Poor,1272,-178
ASSET10153,Router,Model-758,SN-920572,Latha Desai,Finance,Belagavi,08-03-2023,07-03-2025,Damaged,Average,1005,-276
ASSET10154,Mobile,Model-172,SN-740955,Unassigned,IT,Hubli,04-04-2022,04-04-2023,Available,Excellent,1343,-979
ASSET10155,Printer,Model-657,SN-385597,Unassigned,Marketing,Hubli,27-11-2024,27-11-2025,Available,Average,375,-11
ASSET10156,Printer,Model-139,SN-598855,Unassigned,IT,Bengaluru,01-05-2022,30-04-2025,Available,Good,1316,-222
ASSET10157,Mobile,Model-161,SN-483004,Karthik Rao,Sales,Bengaluru,25-08-2024,25-08-2026,Damaged,Good,469,260
ASSET10158,Server,Model-127,SN-463617,Asha Gowda,HR,Ballari,02-08-2024,02-08-2025,Disposed,Excellent,492,-128
ASSET10159,Switch,Model-858,SN-682291,Arjun Naidu,Admin,Ballari,01-06-2023,31-05-2025,Damaged,Excellent,920,-191
ASSET10160,Mobile,Model-646,SN-787701,Asha Naidu,Admin,Mangalore,12-01-2024,11-01-2026,In Use,Excellent,695,34
ASSET10161,Router,Model-114,SN-287229,Arjun Naidu,HR,Davangere,21-03-2024,21-03-2026,Under Repair,Good,626,103
ASSET10162,Mobile,Model-211,SN-464008,Divya Gowda,Sales,Mysuru,06-07-2024,06-07-2026,Under Repair,Poor,519,210
ASSET10163,Printer,Model-959,SN-374968,Unassigned,HR,Shivamogga,27-03-2024,27-03-2027,Available,Excellent,620,474
ASSET10164,Mobile,Model-662,SN-570027,Kavya Hegde,Operations,Belagavi,14-04-2023,13-04-2024,Disposed,Good,968,-604
ASSET10165,Router,Model-414,SN-108547,Deepak Shetty,Sales,Belagavi,05-10-2024,05-10-2025,Disposed,Poor,428,-64
ASSET10166,Switch,Model-610,SN-245872,Unassigned,Admin,Shivamogga,12-01-2025,12-01-2028,Available,Average,329,765
ASSET10167,Tablet,Model-748,SN-176329,Shruthi Shetty,HR,Davangere,18-05-2023,17-05-2024,In Use,Excellent,934,-570
ASSET10168,Projector,Model-613,SN-535273,Rohan Shetty,Sales,Udupi,13-11-2023,12-11-2026,Damaged,Good,755,339
ASSET10169,Switch,Model-970,SN-437545,Karthik Naidu,Finance,Ballari,10-03-2022,10-03-2023,In Use,Excellent,1368,-1004
ASSET10170,Projector,Model-348,SN-864798,Rakesh Pai,R&D,Davangere,05-04-2023,04-04-2024,In Use,Poor,977,-613
ASSET10171,Switch,Model-460,SN-828472,Pooja Murthy,Sales,Udupi,01-02-2023,31-01-2026,In Use,Poor,1040,54
ASSET10172,Mobile,Model-348,SN-831176,Deepak Desai,IT,Davangere,23-01-2022,23-01-2023,In Use,Good,1414,-1050
ASSET10173,Mobile,Model-968,SN-171417,Divya Hegde,Sales,Udupi,19-02-2024,18-02-2027,Damaged,Average,657,437
ASSET10174,Desktop,Model-372,SN-365865,Asha Hegde,Marketing,Mysuru,18-05-2024,18-05-2026,Damaged,Excellent,568,161
ASSET10175,Router,Model-996,SN-127114,Divya Murthy,Operations,Davangere,16-03-2023,15-03-2025,Under Repair,Average,997,-268
ASSET10176,Printer,Model-417,SN-509433,Meena Naidu,Operations,Shivamogga,02-02-2022,02-02-2023,In Use,Good,1404,-1040
ASSET10177,Server,Model-106,SN-267224,Divya Murthy,Finance,Udupi,10-03-2022,10-03-2023,Under Repair,Good,1368,-1004
ASSET10178,Router,Model-173,SN-376075,Unassigned,Admin,Bengaluru,26-10-2024,26-10-2027,Available,Average,407,687
ASSET10179,Printer,Model-126,SN-744475,Vikram Gowda,Finance,Ballari,04-11-2023,03-11-2024,In Use,Average,764,-400
ASSET10180,Desktop,Model-575,SN-789942,Unassigned,IT,Ballari,25-12-2024,25-12-2026,Available,Poor,347,382
ASSET10181,Monitor,Model-610,SN-744195,Rohan Shetty,R&D,Udupi,03-04-2024,03-04-2026,Disposed,Average,613,116
ASSET10182,Tablet,Model-648,SN-943204,Arjun Desai,IT,Udupi,06-06-2024,06-06-2025,Disposed,Average,549,-185
ASSET10183,Monitor,Model-986,SN-786329,Vikram Rao,Admin,Bengaluru,13-03-2024,13-03-2026,Damaged,Poor,634,95
ASSET10184,Router,Model-941,SN-685495,Deepak Rao,Operations,Hubli,29-11-2024,29-11-2025,Disposed,Average,373,-9
ASSET10185,Monitor,Model-637,SN-416672,Manoj Urs,R&D,Hubli,22-02-2024,21-02-2027,Damaged,Excellent,654,440
ASSET10186,Server,Model-178,SN-501728,Unassigned,Admin,Ballari,15-12-2022,14-12-2025,Available,Excellent,1088,6
ASSET10187,Tablet,Model-941,SN-514069,Vikram Pai,Sales,Ballari,25-05-2024,25-05-2027,Damaged,Good,561,533
ASSET10188,Tablet,Model-471,SN-316955,Pooja Naidu,Sales,Mysuru,05-10-2024,05-10-2025,Disposed,Excellent,428,-64
ASSET10189,Server,Model-661,SN-512330,Sanjay Desai,HR,Hubli,13-04-2023,12-04-2026,In Use,Poor,969,125
ASSET10190,Laptop,Model-904,SN-407185,Rohan Murthy,R&D,Bengaluru,17-06-2023,16-06-2026,Damaged,Poor,904,190
ASSET10191,Switch,Model-319,SN-805473,Meena Gowda,Sales,Mangalore,11-01-2024,10-01-2027,Damaged,Average,696,398
ASSET10192,Desktop,Model-710,SN-262887,Unassigned,R&D,Mysuru,04-01-2023,03-01-2025,Available,Excellent,1068,-339
ASSET10193,Monitor,Model-106,SN-634000,Latha Rao,Marketing,Mangalore,08-01-2023,07-01-2025,Under Repair,Excellent,1064,-335
ASSET10194,Router,Model-745,SN-891242,Manoj Rao,Marketing,Bengaluru,15-02-2022,15-02-2023,Damaged,Good,1391,-1027
ASSET10195,Laptop,Model-724,SN-689692,Unassigned,R&D,Shivamogga,14-03-2024,14-03-2027,Available,Good,633,461
ASSET10196,Laptop,Model-243,SN-987491,Divya Pai,HR,Ballari,16-01-2025,16-01-2028,Damaged,Excellent,325,769
ASSET10197,Projector,Model-890,SN-728815,Manoj Rao,Finance,Mysuru,03-08-2024,03-08-2025,Under Repair,Good,491,-127
ASSET10198,Router,Model-606,SN-244335,Unassigned,R&D,Ballari,27-06-2024,27-06-2025,Available,Poor,528,-164
ASSET10199,Desktop,Model-652,SN-632724,Meena Naidu,HR,Davangere,18-03-2023,17-03-2025,Under Repair,Excellent,995,-266
ASSET10200,Router,Model-211,SN-564101,Nandini Hegde,HR,Belagavi,08-08-2022,07-08-2025,In Use,Excellent,1217,-123
ASSET10201,Server,Model-601,SN-551223,Pooja Gowda,IT,Shivamogga,27-04-2022,26-04-2024,Damaged,Good,1320,-591
ASSET10202,Monitor,Model-748,SN-555181,Nandini Murthy,R&D,Udupi,22-08-2023,21-08-2026,Disposed,Good,838,256
ASSET10203,Mobile,Model-360,SN-846631,Pooja Shetty,Operations,Mangalore,09-03-2022,08-03-2025,Disposed,Poor,1369,-275
ASSET10204,Desktop,Model-616,SN-140161,Unassigned,Finance,Hubli,04-06-2024,04-06-2027,Available,Poor,551,543
ASSET10205,Projector,Model-732,SN-601504,Kavya Shetty,Sales,Mysuru,18-01-2023,17-01-2025,Under Repair,Average,1054,-325
